chr	Pos_hg19	Strand	Transcript	Gene	UsedSite	Expression_Average_(%)	Expression_Average_(read)	nbSamp	MES	SSF	bp_pos	bp_zsc	BPP_class	ss_dist	svm_scr	SVM_class	branchpoint_dist	branchpoint_prob	branchpoint_class	LB_pos	LB_score	LB_class	RNABPS_pos	RNABPS_score	RNABPS_class	Cum_class
chr6	15505395	+	NM_004973	JARID2	1	0.19	0.11	7	5.18	77.15	17	5.09	No	4	0.46	No	28	0.6	Yes	-28	0.61	No	42	80.21	Yes	BPP: No, SVM: No, Branch: Yes, LB: No, RNABPS: Yes
chr6	15509194	+	NM_004973	JARID2	1	1.79	0.67	35	4.54	86.34	16	6.36	Yes	53	1.34	Yes	23	0.56	Yes	-32	0.4	No	39	49.11	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr4	71522991	-	NM_144646	JCHAIN	1	0.01	0.58	32	4.45	78.66	21	5.2	No	32	1.34	Yes	0	0	No	-44	0.74	Yes	26	92.04	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr4	71525100	-	NM_144646	JCHAIN	1	0	0.17	10	2.24	80.12	20	7.79	Yes	7	1.16	Yes	0	0	No	-31	0.85	Yes	39	89.75	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr4	71525103	-	NM_144646	JCHAIN	1	0.02	1.72	50	3.6	85.02	17	7.6	Yes	4	1.2	Yes	0	0	No	-28	0.93	Yes	42	94.97	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr4	71527869	-	NM_144646	JCHAIN	1	0.01	0.53	27	7.58	84.01	23	5.35	No	70	0.54	No	0	0	No	-22	0.77	Yes	48	65.77	No	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: No
chr4	71527924	-	NM_144646	JCHAIN	1	0	0.38	17	-6.96	0	13	4.24	No	38	1.79	Yes	0	0	No	-50	0.78	Yes	20	86.4	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr4	71527927	-	NM_144646	JCHAIN	1	0.02	1.5	48	-5.56	0	10	3.87	No	35	1.8	Yes	0	0	No	-47	0.82	Yes	23	89.42	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr4	71527932	-	NM_144646	JCHAIN	1	0.01	1.01	37	-12.95	0	43	9.08	Yes	30	1.82	Yes	0	0	No	-42	0.86	Yes	NA	NA	NA	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: No
chr4	71527946	-	NM_144646	JCHAIN	1	0	0.13	9	-1.25	0	29	8.27	Yes	16	1.84	Yes	41	0.65	Yes	-28	0.84	Yes	NA	NA	NA	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: No
chr4	71531604	-	NM_144646	JCHAIN	1	0.17	15.43	71	4.83	70.84	47	5.28	No	30	1.52	Yes	23	0.82	Yes	-42	0.36	No	28	68.29	No	BPP: No, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr4	71531668	-	NM_144646	JCHAIN	1	0.07	6.19	69	5.61	86.1	49	5.62	Yes	36	0.65	No	0	0	No	-21	0.5	No	49	44.69	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr14	75911792	+	NM_001135049	JDP2	1	2.67	0.68	32	9.66	92.93	17	6.69	Yes	18	0.18	No	24	0.59	Yes	-24	0.55	No	46	64.31	No	BPP: Yes, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr14	75928132	+	NM_001135049	JDP2	1	1.33	0.28	18	2.77	0	29	5.65	Yes	16	0.85	Yes	0	0	No	-28	0.93	Yes	42	95.5	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr10	64927870	-	NM_001318153	JMJD1C	1	0.35	0.4	22	4.83	84.98	22	5.77	Yes	59	0.36	No	0	0	No	-27	0.65	No	43	83.53	Yes	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: Yes
chr10	64929626	-	NM_001318153	JMJD1C	1	0.3	0.24	15	4.38	84.28	36	7.5	Yes	23	1.32	Yes	0	0	No	-24	0.76	Yes	46	81.99	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr10	64930671	-	NM_001318153	JMJD1C	1	0.18	0.15	10	4.3	76.87	58	7.47	Yes	-2	1.55	Yes	0	0	No	-23	0.37	No	43	40.07	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr10	64943324	-	NM_001318153	JMJD1C	1	0.11	0.1	7	-1.68	0	15	3.87	No	14	0.18	No	0	0	No	-31	0.45	No	39	71.28	Yes	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: Yes
chr10	64946137	-	NM_001318153	JMJD1C	1	0.33	0.21	13	-1.91	0	13	3.96	No	22	1.31	Yes	0	0	No	-34	0.81	Yes	36	82.95	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr10	64952852	-	NM_001318153	JMJD1C	1	1.13	1.13	49	-3.44	0	9	3.87	No	66	0.75	No	0	0	No	-38	0.39	No	32	57.62	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr10	64952858	-	NM_001318153	JMJD1C	1	0.7	0.67	30	-7.25	63.3	27	4.99	No	60	0.75	No	26	0.76	Yes	-32	0.39	No	38	56.97	No	BPP: No, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr10	64955087	-	NM_001318153	JMJD1C	1	0.23	0.24	13	7.21	84.17	27	5.74	Yes	63	0.41	No	0	0	No	-26	0.68	Yes	23	55.56	No	BPP: Yes, SVM: No, Branch: No, LB: Yes, RNABPS: No
chr10	64955111	-	NM_001318153	JMJD1C	1	0.23	0.22	12	4.74	84.41	24	5.48	No	39	0.4	No	0	0	No	-23	0.56	No	47	68.17	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr10	64962011	-	NM_001318153	JMJD1C	1	0.6	0.46	25	7.15	75.57	34	6	Yes	21	1.43	Yes	0	0	No	-33	0.85	Yes	37	93.85	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr10	64975378	-	NM_001318153	JMJD1C	1	7.05	4.06	72	7.54	82.84	25	5.52	No	3	1.11	Yes	24	0.52	Yes	-27	0.68	Yes	43	71.24	Yes	BPP: No, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr10	64979360	-	NM_001318153	JMJD1C	1	0.28	0.19	11	5.61	71.91	32	5.99	Yes	75	1.14	Yes	0	0	No	-31	0.75	Yes	39	88.01	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr10	64991551	-	NM_001318153	JMJD1C	1	1.26	0.72	35	7.93	86.24	23	5.7	Yes	36	0.41	No	0	0	No	-22	0.52	No	35	68	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr10	64995255	-	NM_001318153	JMJD1C	1	0.18	0.13	9	2.74	83	29	8.43	Yes	16	1.79	Yes	0	0	No	-28	0.71	Yes	42	80.75	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr10	65021314	-	NM_001318153	JMJD1C	1	1.12	0.69	32	7.93	91.83	41	6.86	Yes	36	1.77	Yes	0	0	No	-40	0.79	Yes	30	87	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr1	227920657	-	NM_001161465	JMJD4	1	6.93	2.29	61	6.89	80.24	69	8.97	Yes	56	0.78	Yes	0	0	No	-30	0.64	No	40	66.89	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr1	227921421	-	NM_001161465	JMJD4	1	0.23	0.24	15	-7.83	0	14	3.08	No	75	0.65	No	24	0.79	Yes	-18	0.63	No	53	20.33	No	BPP: No, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr17	74717434	-	NM_001081461	JMJD6	1	0.51	0.43	21	-0.05	0	27	5.74	Yes	30	0.57	No	21	0.9	Yes	-26	0.92	Yes	44	94.43	Yes	BPP: Yes, SVM: No, Branch: Yes, LB: Yes, RNABPS: Yes
chr17	74717439	-	NM_001081461	JMJD6	1	3.44	2.58	65	10.54	88.45	22	5.29	No	25	0.59	No	21	0.9	Yes	-21	0.92	Yes	49	95.26	Yes	BPP: No, SVM: No, Branch: Yes, LB: Yes, RNABPS: Yes
chr17	74718013	-	NM_001081461	JMJD6	1	0.18	0.17	9	-10.1	72.92	27	7.1	Yes	14	1.15	Yes	0	0	No	-26	0.82	Yes	44	80.12	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr15	42120591	+	NM_001114632	JMJD7	1	1.51	0.25	15	6.1	76	24	8.82	Yes	11	0.75	No	0	0	No	-23	0.8	Yes	47	85.08	Yes	BPP: Yes, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr15	42121301	+	NM_001114632	JMJD7	1	1.14	0.18	12	8.19	89.03	26	6.52	Yes	13	0.69	No	25	0.87	Yes	-25	0.8	Yes	45	80.82	Yes	BPP: Yes, SVM: No, Branch: Yes, LB: Yes, RNABPS: Yes
chr16	733061	-	NM_001005920	JMJD8	1	1.02	1.04	42	-0.97	59.05	30	5.97	Yes	37	1.22	Yes	0	0	No	-29	0.62	No	41	42.37	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr16	733253	-	NM_001005920	JMJD8	1	0.68	0.57	32	4.4	75.65	25	5.57	Yes	27	-1.87	No	23	0.96	Yes	-24	0.59	No	46	61.34	No	BPP: Yes, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr5	78559238	+	NM_152405	JMY	1	0.81	0.18	12	10.86	100	20	5.83	Yes	7	0.64	No	0	0	No	-33	0.71	Yes	38	39.59	No	BPP: Yes, SVM: No, Branch: No, LB: Yes, RNABPS: No
chr5	78608228	+	NM_152405	JMY	1	0.89	0.24	12	-0.04	81.85	31	6.22	Yes	59	1.16	Yes	0	0	No	-30	0.66	No	40	82.18	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr5	78610192	+	NM_152405	JMY	1	2.32	0.6	28	2.22	68.09	14	4.54	No	1	1.39	Yes	0	0	No	-28	0.69	Yes	51	72.96	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr5	78610202	+	NM_152405	JMY	1	4.06	0.99	46	3.96	0	17	4.36	No	11	1.35	Yes	0	0	No	-16	0.54	No	47	71.85	Yes	BPP: No, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr5	78612023	+	NM_152405	JMY	1	1.31	0.19	10	5.04	80.29	20	5.6	Yes	7	0.93	Yes	0	0	No	-19	0.64	No	51	60.51	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr22	39084003	-	NM_014876	JOSD1	1	0.12	0.14	9	-1.14	0	30	6.59	Yes	17	0.14	No	0	0	No	-29	0.9	Yes	41	86.7	Yes	BPP: Yes, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr19	51010946	-	NM_001270640	JOSD2	1	0.24	0.11	7	-0.62	0	20	4.41	No	23	0.28	No	0	0	No	-35	0.8	Yes	35	92.11	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr19	51013706	-	NM_001270640	JOSD2	1	505.66	38.29	72	7.16	77.3	29	5.92	Yes	16	0.75	No	28	0.84	Yes	-28	0.72	Yes	45	64.89	No	BPP: Yes, SVM: No, Branch: Yes, LB: Yes, RNABPS: No
chrX	73166833	+	NR_024582	JPX	1	98.3	17.67	63	7.38	90.92	28	5.83	Yes	48	0.97	Yes	27	0.81	Yes	-27	0.65	No	43	47.11	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chrX	73182569	+	NR_024582	JPX	1	4.12	0.72	33	-0.31	0	27	7.44	Yes	67	1.92	Yes	0	0	No	-26	0.33	No	44	42.93	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chrX	73204278	+	NR_024582	JPX	1	7.51	1.43	47	10.11	93.65	23	5.09	No	75	-1.24	No	0	0	No	-27	0.68	Yes	43	43.65	No	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: No
chr1	153948381	-	NM_006694	JTB	1	0.03	0.22	13	-14.62	0	32	8.33	Yes	19	1.64	Yes	0	0	No	-31	0.9	Yes	NA	NA	NA	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: No
chr1	153949399	-	NM_006694	JTB	1	0.27	1.21	49	8.32	80.7	31	7.87	Yes	43	-1.7	No	30	0.45	Yes	-30	0.52	No	40	59.56	No	BPP: Yes, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr19	11277619	-	NM_001136191	KANK2	1	0.58	0.19	12	6.85	84.93	30	7.13	Yes	63	2.29	Yes	0	0	No	-29	0.74	Yes	41	85.9	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	210940445	-	NM_152519	KANSL1L	1	2.75	0.17	11	5.36	87.16	17	4.66	No	44	1.15	Yes	0	0	No	-21	0.9	Yes	49	81.88	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	210951214	-	NM_152519	KANSL1L	1	6.21	0.24	12	7.27	86.44	22	4.99	No	53	2.11	Yes	0	0	No	-21	0.79	Yes	49	88.26	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	210962138	-	NM_152519	KANSL1L	1	1.85	0.1	7	9.79	90.78	12	5.24	No	-1	1.17	Yes	0	0	No	-27	0.67	Yes	43	57.19	No	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: No
chr2	210994171	-	NM_152519	KANSL1L	1	0.75	0.17	10	6.39	78.65	38	8.03	Yes	25	1.17	Yes	0	0	No	-37	0.92	Yes	33	93.47	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	211012176	-	NM_152519	KANSL1L	1	1.12	0.17	12	10.61	92.17	33	6.1	Yes	20	0.42	No	0	0	No	-32	0.38	No	45	54.58	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr2	211015504	-	NM_152519	KANSL1L	1	0.66	0.11	8	9.93	85.05	48	6.9	Yes	35	1.84	Yes	0	0	No	-47	0.86	Yes	23	88.66	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	211020129	-	NM_152519	KANSL1L	1	2.44	0.24	10	3.46	0	34	5.25	No	21	0.8	Yes	0	0	No	-29	0.7	Yes	41	91.04	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr12	49063052	-	NM_017822	KANSL2	1	0.17	0.13	7	-1.66	0	29	8.16	Yes	16	0.93	Yes	25	0.58	Yes	-26	0.41	No	42	75.52	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: Yes
chr12	49071565	-	NM_017822	KANSL2	1	0.44	0.35	22	4.74	84.41	35	7.45	Yes	74	1.37	Yes	0	0	No	-34	0.95	Yes	36	96.11	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr12	49073022	-	NM_017822	KANSL2	1	0.16	0.11	7	6.31	76.12	38	6.63	Yes	25	1.43	Yes	37	0.86	Yes	-37	0.7	Yes	33	86	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr12	49075408	-	NM_017822	KANSL2	1	0.75	0.21	13	5.52	80.59	27	5.1	No	37	0.19	No	22	0.81	Yes	-26	0.87	Yes	44	68.64	No	BPP: No, SVM: No, Branch: Yes, LB: Yes, RNABPS: No
chr12	49075849	-	NM_017822	KANSL2	1	3.11	0.93	34	7.15	93.47	17	4.38	No	40	0.26	No	22	0.91	Yes	-22	0.59	No	48	57.66	No	BPP: No, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr2	97263898	-	NR_047658	KANSL3	1	3.5	1.75	54	8.74	74.87	27	4.97	No	70	0.8	Yes	25	0.19	Yes	-24	0.73	Yes	44	62.36	No	BPP: No, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: No
chr2	97266241	-	NR_047658	KANSL3	1	0.48	0.22	14	11.91	86.68	28	5.66	Yes	15	1.09	Yes	0	0	No	-27	0.88	Yes	43	86.8	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	97270595	-	NR_047658	KANSL3	1	8.91	4.24	69	2.51	0	10	3.87	No	25	1.1	Yes	31	0.96	Yes	-37	0.92	Yes	33	95.65	Yes	BPP: No, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr2	97271234	-	NR_047658	KANSL3	1	0.71	0.39	19	5.05	83.18	18	4.87	No	64	1.04	Yes	0	0	No	-24	0.7	Yes	40	56.09	No	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: No
chr2	97271275	-	NR_047658	KANSL3	1	0.51	0.32	18	-2.24	75.52	36	5.97	Yes	23	1.01	Yes	20	0.89	Yes	-35	0.85	Yes	35	94.55	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr2	97272785	-	NR_047658	KANSL3	1	2.56	1.57	52	8.19	82.86	67	9.33	Yes	9	1.13	Yes	29	0.7	Yes	-29	0.85	Yes	41	76.52	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr2	97278619	-	NR_047658	KANSL3	1	0.52	0.29	18	8.63	86	30	7.66	Yes	17	2.02	Yes	0	0	No	-23	0.82	Yes	47	88.99	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	97297258	-	NR_047658	KANSL3	1	0.61	0.15	10	0.16	60.15	21	5.21	No	43	0.86	Yes	18	0.26	Yes	-29	0.63	No	41	68.39	No	BPP: No, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr2	97297281	-	NR_047658	KANSL3	1	34.63	8.28	72	5.93	87.61	24	5.38	No	20	0.87	Yes	23	0.67	Yes	-23	0.67	Yes	47	59.5	No	BPP: No, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: No
chr16	75670442	-	NM_005548	KARS	1	0.04	0.24	15	3.86	0	30	5.54	No	36	0.99	Yes	0	0	No	-29	0.74	Yes	41	77.13	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr16	75670442	-	NM_005548	KARS	1	0.04	0.24	14	3.86	0	30	5.54	No	36	0.99	Yes	0	0	No	-29	0.74	Yes	41	77.13	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr16	75676734	-	NM_005548	KARS	1	0.08	0.33	16	11.55	95.86	42	8.15	Yes	66	1.01	Yes	21	0.27	Yes	-39	0.55	No	29	46.32	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr16	75678361	-	NM_005548	KARS	1	15.96	64.64	72	12.96	82	28	8.43	Yes	15	1.52	Yes	27	0.92	Yes	-27	0.93	Yes	43	95.4	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr16	75679734	-	NM_005548	KARS	1	0.37	1.46	50	1.63	0	34	8.75	Yes	21	2.26	Yes	0	0	No	-33	0.82	Yes	37	92.75	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr16	75679738	-	NM_005548	KARS	1	0.04	0.13	9	1.38	88.76	30	8.52	Yes	17	2.28	Yes	0	0	No	-29	0.84	Yes	41	92.62	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr20	18142466	+	NR_028402	KAT14	1	0.51	0.18	9	5.91	90.27	27	5.37	No	14	1.22	Yes	23	0.93	Yes	-26	0.96	Yes	44	96.55	Yes	BPP: No, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr20	18160537	+	NR_028402	KAT14	1	0.29	0.15	10	1.89	0	31	6.4	Yes	74	1.51	Yes	0	0	No	-30	0.93	Yes	40	96.54	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr20	18163832	+	NR_028402	KAT14	1	0.44	0.26	16	6.52	83.65	25	5.39	No	12	0.28	No	0	0	No	-24	0.91	Yes	46	89.96	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr20	18164178	+	NR_028402	KAT14	1	0.92	0.28	14	10.67	89.68	48	7.13	Yes	35	1.06	Yes	0	0	No	-47	0.47	No	23	54.57	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr17	40265942	-	NM_021078	KAT2A	1	0.21	0.15	9	6.04	78.48	74	8.9	Yes	61	0.77	Yes	0	0	No	-23	0.4	No	12	65.49	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr17	40266297	-	NM_021078	KAT2A	1	0.2	0.15	10	-1.51	0	28	5.83	Yes	15	0.35	No	0	0	No	-27	0.94	Yes	43	92.89	Yes	BPP: Yes, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr17	40270500	-	NM_021078	KAT2A	1	0.38	0.19	11	5.3	80.02	25	5.1	No	29	0.54	No	0	0	No	-24	0.83	Yes	46	74.38	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr17	40271192	-	NM_021078	KAT2A	1	0.3	0.15	8	10.85	92.63	31	6.48	Yes	73	1.52	Yes	0	0	No	-30	0.9	Yes	40	96.63	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr3	20112855	+	NM_003884	KAT2B	1	1.38	0.29	17	5.83	86.65	25	6.97	Yes	12	1.27	Yes	0	0	No	-24	0.86	Yes	46	92.28	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr3	20119909	+	NM_003884	KAT2B	1	1.73	0.61	33	9.09	94.46	26	6.17	Yes	13	1.26	Yes	0	0	No	-25	0.89	Yes	45	91.04	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr3	20186308	+	NM_003884	KAT2B	1	0.42	0.17	9	8.02	85.05	38	7.59	Yes	25	1.9	Yes	0	0	No	-31	0.77	Yes	39	75.61	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr3	20189417	+	NM_003884	KAT2B	1	0.48	0.25	15	1.43	69.3	26	6.14	Yes	13	0.78	Yes	29	0.94	Yes	-25	0.88	Yes	45	85.97	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr3	20189739	+	NM_003884	KAT2B	1	0.48	0.29	17	-0.7	0	40	7.57	Yes	27	1.84	Yes	0	0	No	-39	0.86	Yes	31	94.11	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr3	20189868	+	NM_003884	KAT2B	1	0.82	0.24	13	4.62	72.36	74	7.95	Yes	34	0.64	No	19	0.69	Yes	-20	0.35	No	38	30.37	No	BPP: Yes, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr3	20189896	+	NM_003884	KAT2B	1	0.32	0.1	7	-7.87	75.17	22	6.08	Yes	62	0.66	No	0	0	No	-21	0.47	No	49	65.9	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr11	65480791	+	NM_182710	KAT5	1	1.52	0.53	29	-3.01	0	48	6.5	Yes	35	0.23	No	24	0.51	Yes	-34	0.58	No	NA	NA	NA	BPP: Yes, SVM: No, Branch: Yes, LB: No, RNABPS: No
chr11	65482130	+	NM_182710	KAT5	1	1.55	1.67	54	11.43	83.18	31	6	Yes	18	0.35	No	30	0.8	Yes	-30	0.88	Yes	40	73.44	Yes	BPP: Yes, SVM: No, Branch: Yes, LB: Yes, RNABPS: Yes
chr11	65484234	+	NM_182710	KAT5	1	0.2	0.26	18	5.51	75.31	34	6	Yes	21	0.85	Yes	0	0	No	-33	0.6	No	37	49.46	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr8	41814699	-	NM_006766	KAT6A	1	0.92	0.64	34	3.9	78.08	24	4.85	No	75	-4.36	No	0	0	No	-23	0.6	No	47	60.64	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr8	41822143	-	NM_006766	KAT6A	1	0.17	0.14	10	12.99	95.65	25	6.86	Yes	60	1.06	Yes	0	0	No	-24	0.86	Yes	46	78.54	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr8	41907226	-	NM_006766	KAT6A	1	53.49	14.81	72	9.54	95.19	20	4.95	No	57	1.53	Yes	19	0.58	Yes	-19	0.8	Yes	51	83.92	Yes	BPP: No, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr10	76599008	+	NM_001256469	KAT6B	1	0.32	0.15	9	3.97	84.41	30	4.63	No	14	0.3	No	0	0	No	-29	0.65	No	41	68.75	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr10	76741999	+	NM_001256469	KAT6B	1	0.42	0.28	15	6.95	93.6	21	5.68	Yes	19	0.92	Yes	0	0	No	-31	0.78	Yes	39	84.17	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr10	76743470	+	NM_001256469	KAT6B	1	0.28	0.17	10	6.37	89.48	21	5.2	No	41	0.11	No	0	0	No	-20	0.59	No	49	50.71	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr17	47869299	+	NM_007067	KAT7	1	0.17	0.11	7	8.22	90.41	22	5.18	No	44	-2.25	No	0	0	No	-26	0.5	No	49	42.95	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr17	47893172	+	NM_007067	KAT7	1	0.2	0.19	11	-3.04	0	11	4.12	No	17	0.05	No	0	0	No	-29	0.75	Yes	41	86.94	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr17	47902883	+	NM_007067	KAT7	1	0.11	0.1	7	3.44	73.75	13	4.99	No	27	0.47	No	0	0	No	-39	0.68	Yes	31	76.2	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr16	31141177	+	NM_182958	KAT8	1	0.52	0.39	17	10.99	87.24	27	5.66	Yes	-4	0.84	Yes	0	0	No	-26	0.41	No	45	45.22	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr16	31142017	+	NM_182958	KAT8	1	0.26	0.18	12	5.93	72.65	50	7.14	Yes	12	1.11	Yes	0	0	No	-24	0.92	Yes	46	92.74	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr16	31142515	+	NM_182958	KAT8	1	0.94	0.6	32	12.31	83.92	31	5.91	Yes	75	-3.02	No	30	0.67	Yes	-23	0.74	Yes	40	69.85	Yes	BPP: Yes, SVM: No, Branch: Yes, LB: Yes, RNABPS: Yes
chr6	149922538	-	NM_007044	KATNA1	1	0.15	0.13	8	12.03	92.85	33	5.83	Yes	20	0.43	No	0	0	No	-32	0.49	No	38	64.21	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr6	149924867	-	NM_007044	KATNA1	1	0.45	0.36	22	8.98	80.6	15	5.46	No	67	-1.98	No	0	0	No	-32	0.64	No	43	49.86	No	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: No
chr6	149937194	-	NM_007044	KATNA1	1	2.55	0.58	30	10.78	80.94	25	6.15	Yes	12	1.68	Yes	0	0	No	-20	0.61	No	50	69.87	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
